Attendance (%),Assignment Score,Final Score (hidden),Performance
46,74,62.8,Medium
64,98,84.4,High
84,61,70.2,Medium
43,73,61.0,Medium
75,94,86.4,High
45,37,40.2,Low
99,72,82.8,High
70,30,46.0,Low
58,80,71.2,Medium
100,53,71.8,Medium
83,53,65.0,Medium
93,46,64.8,Medium
78,34,51.6,Low
66,49,55.8,Medium
49,50,49.6,Low
65,87,78.19999999999999,High
58,60,59.2,Medium
78,40,55.2,Medium
42,81,65.4,Medium
84,44,60.0,Medium
52,36,42.4,Low
89,57,69.8,Medium
67,80,74.8,Medium
97,87,91.0,High
59,34,44.0,Low
67,34,47.2,Low
47,37,41.0,Low
100,93,95.8,High
80,39,55.4,Medium
78,67,71.4,Medium
40,37,38.2,Low
42,54,49.2,Low
52,95,77.8,High
67,79,74.2,Medium
96,96,96.0,High
99,78,86.4,High
88,65,74.2,Medium
64,97,83.8,High
95,70,80.0,High
72,91,83.4,High
77,39,54.2,Low
92,50,66.80000000000001,Medium
45,65,57.0,Medium
97,41,63.400000000000006,Medium
83,31,51.8,Low
84,42,58.8,Medium
71,82,77.6,High
84,61,70.2,Medium
100,45,67.0,Medium
86,61,71.0,Medium
60,61,60.6,Medium
55,40,46.0,Low
93,39,60.6,Medium
60,44,50.4,Low
50,46,47.599999999999994,Low
99,69,81.0,High
76,47,58.6,Medium
75,84,80.4,High
74,54,62.0,Medium
58,88,76.0,High
59,51,54.2,Low
96,59,73.80000000000001,Medium
57,73,66.6,Medium
86,61,71.0,Medium
80,80,80.0,High
88,75,80.2,High
53,50,51.2,Low
54,61,58.2,Medium
70,68,68.8,Medium
40,41,40.599999999999994,Low
92,76,82.4,High
93,47,65.4,Medium
93,50,67.2,Medium
42,42,42.0,Low
55,50,52.0,Low
62,37,47.0,Low
96,75,83.4,High
50,36,41.599999999999994,Low
51,52,51.6,Low
49,51,50.2,Low
71,51,59.0,Medium
55,58,56.8,Medium
47,42,44.0,Low
77,31,49.4,Low
51,58,55.2,Medium
63,81,73.80000000000001,Medium
67,56,60.400000000000006,Medium
92,79,84.2,High
47,52,50.0,Low
97,73,82.6,High
67,51,57.4,Medium
75,72,73.19999999999999,Medium
65,66,65.6,Medium
47,90,72.8,Medium
97,85,89.80000000000001,High
99,32,58.8,Medium
89,92,90.8,High
67,48,55.599999999999994,Medium
67,52,58.0,Medium
76,58,65.2,Medium
80,59,67.4,Medium
75,68,70.8,Medium
66,54,58.8,Medium
93,37,59.400000000000006,Medium
56,87,74.6,Medium
48,45,46.2,Low
72,30,46.8,Low
92,34,57.2,Medium
59,32,42.8,Low
52,94,77.2,High
67,33,46.6,Low
87,93,90.6,High
68,39,50.6,Low
52,50,50.8,Low
85,75,79.0,High
74,56,63.2,Medium
100,95,97.0,High
45,70,60.0,Medium
57,42,48.0,Low
90,38,58.8,Medium
44,65,56.6,Medium
86,87,86.6,High
64,83,75.4,High
41,41,41.0,Low
49,43,45.400000000000006,Low
95,63,75.8,High
69,82,76.8,High
89,49,65.0,Medium
98,45,66.2,Medium
84,99,93.0,High
44,85,68.6,Medium
94,87,89.8,High
95,33,57.8,Medium
72,33,48.6,Low
93,49,66.6,Medium
40,39,39.4,Low
57,53,54.599999999999994,Low
71,55,61.400000000000006,Medium
86,66,74.0,Medium
88,83,85.0,High
50,50,50.0,Low
60,67,64.19999999999999,Medium
65,75,71.0,Medium
64,33,45.400000000000006,Low
61,89,77.8,High
98,86,90.80000000000001,High
66,74,70.8,Medium
88,49,64.6,Medium
52,46,48.4,Low
72,100,88.8,High
73,33,49.0,Low
80,43,57.8,Medium
74,32,48.8,Low
40,87,68.19999999999999,Medium
60,84,74.4,Medium
87,33,54.60000000000001,Low
94,53,69.4,Medium
45,63,55.8,Medium
67,59,62.2,Medium
56,48,51.2,Low
44,60,53.6,Low
70,89,81.4,High
44,89,71.0,Medium
77,48,59.599999999999994,Medium
42,78,63.599999999999994,Medium
92,92,92.0,High
62,51,55.4,Medium
76,53,62.2,Medium
92,59,72.2,Medium
76,87,82.6,High
49,60,55.6,Medium
49,93,75.4,High
58,48,52.0,Low
56,77,68.6,Medium
60,74,68.4,Medium
53,84,71.6,Medium
48,84,69.6,Medium
85,47,62.2,Medium
40,92,71.19999999999999,Medium
90,76,81.6,High
84,86,85.2,High
52,74,65.2,Medium
43,62,54.39999999999999,Low
40,46,43.599999999999994,Low
88,99,94.6,High
79,33,51.400000000000006,Low
71,49,57.8,Medium
73,76,74.80000000000001,Medium
67,44,53.2,Low
70,99,87.4,High
47,76,64.4,Medium
78,38,54.0,Low
65,45,53.0,Low
97,98,97.6,High
73,90,83.2,High
93,39,60.6,Medium
93,79,84.6,High
42,32,36.0,Low
98,99,98.6,High
89,80,83.6,High
51,48,49.2,Low
40,71,58.6,Medium
93,64,75.6,High
83,75,78.2,High
44,55,50.6,Low
69,98,86.4,High
69,93,83.4,High
98,66,78.80000000000001,High
96,78,85.2,High
56,50,52.400000000000006,Low
87,93,90.6,High
86,34,54.8,Low
62,99,84.2,High
54,33,41.400000000000006,Low
76,68,71.2,Medium
60,64,62.4,Medium
53,30,39.2,Low
41,53,48.2,Low
50,86,71.6,Medium
90,99,95.4,High
78,70,73.2,Medium
77,83,80.6,High
99,75,84.6,High
73,89,82.6,High
77,89,84.2,High
89,86,87.2,High
73,60,65.2,Medium
57,53,54.599999999999994,Low
69,65,66.6,Medium
54,59,57.0,Medium
66,53,58.2,Medium
90,59,71.4,Medium
73,36,50.8,Low
91,64,74.8,Medium
96,84,88.80000000000001,High
77,43,56.6,Medium
72,39,52.2,Low
63,45,52.2,Low
54,83,71.4,Medium
99,99,99.0,High
69,73,71.4,Medium
94,74,82.0,High
81,85,83.4,High
90,86,87.6,High
56,50,52.400000000000006,Low
44,97,75.8,High
68,79,74.6,Medium
43,62,54.39999999999999,Low
49,36,41.2,Low
95,99,97.4,High
56,44,48.8,Low
49,61,56.2,Medium
56,49,51.8,Low
99,44,66.0,Medium
59,77,69.8,Medium
63,100,85.2,High
44,50,47.6,Low
73,71,71.80000000000001,Medium
45,55,51.0,Low
92,43,62.60000000000001,Medium
41,86,68.0,Medium
52,66,60.400000000000006,Medium
82,87,85.0,High
82,50,62.800000000000004,Medium
87,98,93.6,High
50,32,39.2,Low
90,66,75.6,High
86,78,81.19999999999999,High
96,48,67.2,Medium
62,41,49.4,Low
94,90,91.6,High
55,70,64.0,Medium
70,62,65.19999999999999,Medium
50,79,67.4,Medium
93,97,95.4,High
55,100,82.0,High
47,62,56.0,Medium
43,53,49.0,Low
79,90,85.6,High
43,90,71.2,Medium
95,57,72.19999999999999,Medium
64,87,77.8,High
42,72,60.0,Medium
71,70,70.4,Medium
42,68,57.599999999999994,Medium
66,78,73.2,Medium
68,46,54.8,Low
71,99,87.8,High
89,99,95.0,High
100,94,96.4,High
97,34,59.2,Medium
90,31,54.599999999999994,Low
58,51,53.8,Low
60,86,75.6,High
44,95,74.6,Medium
57,45,49.8,Low
67,80,74.8,Medium
81,68,73.19999999999999,Medium
100,69,81.4,High
61,67,64.6,Medium
60,89,77.4,High
45,88,70.8,Medium
40,39,39.4,Low
44,93,73.4,Medium
80,92,87.19999999999999,High
51,78,67.2,Medium
65,93,81.8,High
85,61,70.6,Medium
73,36,50.8,Low
88,50,65.2,Medium
53,49,50.6,Low
65,55,59.0,Medium
84,97,91.8,High
66,44,52.8,Low
48,43,45.0,Low
65,56,59.6,Medium
96,69,79.80000000000001,High
86,87,86.6,High
96,57,72.6,Medium
61,55,57.400000000000006,Medium
86,92,89.6,High
95,95,95.0,High
69,54,60.0,Medium
82,32,52.0,Low
87,73,78.6,High
100,71,82.6,High
56,35,43.400000000000006,Low
65,68,66.8,Medium
75,81,78.6,High
40,52,47.2,Low
47,79,66.2,Medium
88,72,78.4,High
74,48,58.4,Medium
100,98,98.8,High
91,80,84.4,High
54,40,45.6,Low
86,41,59.0,Medium
95,37,60.2,Medium
61,53,56.2,Medium
53,70,63.2,Medium
65,65,65.0,Medium
67,84,77.2,High
62,38,47.6,Low
53,76,66.80000000000001,Medium
63,44,51.6,Low
41,77,62.599999999999994,Medium
84,71,76.2,High
65,89,79.4,High
53,99,80.6,High
98,41,63.8,Medium
95,31,56.599999999999994,Medium
90,36,57.599999999999994,Medium
46,32,37.6,Low
42,32,36.0,Low
86,56,68.0,Medium
62,69,66.2,Medium
85,62,71.19999999999999,Medium
